Total Play Time,Total XP,Bot Name,Level,Simulation Run
570.7000000000002,14058,bot4,3,1
379.325,10384,bot6,2,1
557.7,13068,bot1,4,1
618.4,16310,bot3,11,1
572.7000000000002,14138,bot4,3,1
383.325,10584,bot6,2,1
561.7,13128,bot1,4,1
622.4,16510,bot3,11,1
574.7000000000002,14162,bot4,3,1
385.325,10684,bot6,2,1
565.7,13176,bot1,4,1
624.4,16570,bot3,11,1
576.7000000000002,14242,bot4,3,1
569.7,13296,bot1,4,1
626.4,16588,bot3,11,1
391.825,10804,bot6,2,1
571.7,13326,bot1,4,1
630.4,16748,bot3,11,1
587.4000000000002,14362,bot4,3,1
399.825,11044,bot6,2,1
632.4,16766,bot3,11,1
589.4000000000002,14422,bot4,3,1
403.825,11092,bot6,2,1
578.1,13486,bot1,4,1
593.4000000000002,14470,bot4,3,1
407.825,11252,bot6,2,1
586.1,13606,bot1,4,1
636.625,16846,bot3,11,1
595.4000000000002,14500,bot4,3,1
411.825,11452,bot6,2,1
588.1,13686,bot1,4,1
640.625,17006,bot3,11,1
597.4000000000002,14530,bot4,3,1
415.825,11512,bot6,2,1
592.1,13746,bot1,4,1
642.625,17106,bot3,11,1
605.4000000000002,14602,bot4,3,1
417.825,11592,bot6,2,1
596.1,13806,bot1,4,1
650.625,17346,bot3,11,1
609.4000000000002,14762,bot4,3,1
600.1,13926,bot1,4,1
652.625,17376,bot3,11,1
613.4000000000002,14922,bot4,3,1
421.97499999999997,11622,bot6,2,1
602.1,14006,bot1,4,1
660.625,17696,bot3,11,1
423.97499999999997,11702,bot6,2,1
662.625,17720,bot3,11,1
620.0000000000002,15042,bot4,3,1
427.97499999999997,11862,bot6,2,1
608.5,14166,bot1,4,1
670.625,18040,bot3,11,1
624.0000000000002,15242,bot4,3,1
431.97499999999997,12062,bot6,2,1
612.5,14226,bot1,4,1
628.0000000000002,15290,bot4,3,1
435.97499999999997,12182,bot6,2,1
620.5,14322,bot1,4,1
681.225,18112,bot3,11,1
630.0000000000002,15320,bot4,3,1
437.97499999999997,12262,bot6,2,1
628.5,14562,bot1,4,1
689.225,18512,bot3,11,1
634.0000000000002,15380,bot4,3,1
441.97499999999997,12422,bot6,2,1
630.5,14662,bot1,4,1
691.225,18572,bot3,11,1
638.0000000000002,15500,bot4,3,1
449.97499999999997,12742,bot6,2,1
638.5,14758,bot1,4,1
693.225,18632,bot3,11,1
646.0000000000002,15900,bot4,3,1
451.97499999999997,12822,bot6,2,1
701.225,18752,bot3,11,1
645.0,14918,bot1,4,1
703.225,18832,bot3,11,1
656.5000000000002,15996,bot4,3,1
456.42499999999995,12902,bot6,2,1
649.0,14966,bot1,4,1
705.225,18892,bot3,11,1
660.5000000000002,16056,bot4,3,1
460.42499999999995,13062,bot6,2,1
653.0,15126,bot1,4,1
664.5000000000002,16256,bot4,3,1
468.42499999999995,13134,bot6,2,1
661.0,15222,bot1,4,1
711.6750000000001,18940,bot3,12,1
666.5000000000002,16316,bot4,3,1
472.42499999999995,13294,bot6,2,1
669.0,15342,bot1,4,1
719.6750000000001,19036,bot3,12,1
668.5000000000002,16396,bot4,3,1
476.42499999999995,13330,bot6,2,1
671.0,15402,bot1,4,1
721.6750000000001,19096,bot3,12,1
670.5000000000002,16426,bot4,3,1
480.42499999999995,13450,bot6,2,1
675.0,15462,bot1,4,1
723.6750000000001,19156,bot3,12,1
674.5000000000002,16474,bot4,3,1
482.42499999999995,13468,bot6,2,1
725.6750000000001,19236,bot3,12,1
678.5000000000002,16634,bot4,3,1
490.42499999999995,13588,bot6,2,1
685.8,15534,bot1,4,1
733.6750000000001,19556,bot3,12,1
682.5000000000002,16670,bot4,3,1
693.8,15774,bot1,4,1
737.6750000000001,19716,bot3,12,1
500.87499999999994,13908,bot6,2,1
695.8,15792,bot1,4,1
745.6750000000001,19956,bot3,12,1
687.1500000000002,16688,bot4,3,1
502.87499999999994,13938,bot6,2,1
697.8,15822,bot1,4,1
749.6750000000001,20156,bot3,12,1
691.1500000000002,16888,bot4,3,1
510.87499999999994,14010,bot6,2,1
701.8,15858,bot1,4,1
751.6750000000001,20186,bot3,12,1
699.1500000000002,17008,bot4,3,1
514.875,14070,bot6,2,1
703.8,15876,bot1,4,1
701.1500000000002,17026,bot4,3,1
522.875,14310,bot6,2,1
711.8,16116,bot1,4,1
762.325,20506,bot3,12,1
709.1500000000002,17266,bot4,3,1
524.875,14390,bot6,2,1
715.8,16164,bot1,4,1
770.325,20746,bot3,12,1
717.1500000000002,17586,bot4,3,1
528.875,14550,bot6,2,1
717.8,16188,bot1,4,1
772.325,20770,bot3,12,1
719.1500000000002,17610,bot4,3,1
721.8,16388,bot1,4,1
780.325,20842,bot3,12,1
721.1500000000002,17710,bot4,3,1
533.325,14568,bot6,2,1
723.8,16418,bot1,4,1
782.325,20902,bot3,12,1
537.325,14688,bot6,2,1
786.325,21062,bot3,12,1
725.9000000000002,17734,bot4,3,1
545.325,14808,bot6,2,1
734.65,16538,bot1,4,1
788.325,21092,bot3,12,1
729.9000000000002,17854,bot4,3,1
547.325,14888,bot6,2,1
742.65,16858,bot1,4,1
737.9000000000002,18094,bot4,3,1
551.325,14936,bot6,2,1
750.65,17098,bot1,4,1
792.475,21110,bot3,12,1
739.9000000000002,18174,bot4,3,1
553.325,15036,bot6,2,1
752.65,17122,bot1,4,1
800.475,21430,bot3,12,1
741.9000000000002,18204,bot4,3,1
555.325,15060,bot6,2,1
754.65,17202,bot1,4,1
804.475,21630,bot3,12,1
745.9000000000002,18324,bot4,3,1
563.325,15380,bot6,2,1
756.65,17220,bot1,4,1
808.475,21750,bot3,12,1
753.9000000000002,18564,bot4,3,1
565.325,15404,bot6,2,1
760.65,17420,bot1,4,1
810.475,21830,bot3,12,1
761.9000000000002,18636,bot4,3,1
818.475,22070,bot3,12,1
765.9000000000002,18696,bot4,3,1
571.975,15452,bot6,2,1
765.25,17480,bot1,4,1
826.475,22190,bot3,12,1
767.9000000000002,18796,bot4,3,1
575.975,15612,bot6,2,1
767.25,17540,bot1,4,1
577.975,15672,bot6,2,1
769.25,17600,bot1,4,1
831.125,22214,bot3,12,1
774.6000000000003,18956,bot4,3,1
579.975,15702,bot6,2,1
773.25,17760,bot1,4,1
833.125,22314,bot3,12,1
782.6000000000003,19076,bot4,3,1
587.975,15822,bot6,2,1
775.25,17860,bot1,4,1
841.125,22386,bot3,12,1
786.6000000000003,19136,bot4,3,1
589.975,15922,bot6,2,1
783.25,18100,bot1,4,1
843.125,22404,bot3,12,1
790.6000000000003,19336,bot4,3,1
597.975,16242,bot6,2,1
791.25,18172,bot1,4,1
847.125,22564,bot3,12,1
794.6000000000003,19456,bot4,3,1
799.25,18244,bot1,4,1
855.125,22804,bot3,12,1
796.6000000000003,19556,bot4,3,1
602.475,16266,bot6,2,1
803.25,18444,bot1,4,1
859.125,22840,bot3,12,1
798.6000000000003,19656,bot4,3,1
606.475,16386,bot6,2,1
863.125,22900,bot3,12,1
800.6000000000003,19680,bot4,3,1
614.475,16626,bot6,2,1
813.65,18516,bot1,4,1
865.125,22924,bot3,12,1
616.475,16726,bot6,2,1
815.65,18546,bot1,4,1
805.2500000000002,19780,bot4,3,1
618.475,16826,bot6,2,1
823.65,18866,bot1,4,1
869.425,22954,bot3,13,1
807.2500000000002,19860,bot4,3,1
620.475,16926,bot6,2,1
831.65,18986,bot1,4,1
877.425,23074,bot3,13,1
815.2500000000002,19980,bot4,3,1
624.475,17046,bot6,2,1
839.65,19082,bot1,4,1
885.425,23314,bot3,13,1
819.2500000000002,20028,bot4,3,1
628.475,17206,bot6,2,1
887.425,23344,bot3,13,1
821.2500000000002,20088,bot4,3,1
632.475,17266,bot6,2,1
844.25,19100,bot1,4,1
889.425,23404,bot3,13,1
825.2500000000002,20148,bot4,3,1
634.475,17284,bot6,2,1
846.25,19160,bot1,4,1
891.425,23434,bot3,13,1
829.2500000000002,20348,bot4,3,1
636.475,17344,bot6,2,1
848.25,19190,bot1,4,1
893.425,23534,bot3,13,1
831.2500000000002,20408,bot4,3,1
852.25,19350,bot1,4,1
895.425,23614,bot3,13,1
646.9250000000001,17584,bot6,2,1
856.25,19398,bot1,4,1
899.425,23734,bot3,13,1
835.7000000000003,20468,bot4,3,1
648.9250000000001,17644,bot6,2,1
864.25,19494,bot1,4,1
907.425,24054,bot3,13,1
839.7000000000003,20528,bot4,3,1
656.9250000000001,17964,bot6,2,1
866.25,19554,bot1,4,1
847.7000000000003,20928,bot4,3,1
660.9250000000001,18024,bot6,2,1
868.25,19578,bot1,4,1
912.0749999999999,24072,bot3,13,1
851.7000000000003,20988,bot4,3,1
664.9250000000001,18144,bot6,2,1
870.25,19638,bot1,4,1
920.0749999999999,24472,bot3,13,1
859.7000000000003,21108,bot4,3,1
666.9250000000001,18204,bot6,2,1
872.25,19718,bot1,4,1
922.0749999999999,24532,bot3,13,1
861.7000000000003,21126,bot4,3,1
668.9250000000001,18222,bot6,2,1
874.25,19748,bot1,4,1
926.0749999999999,24652,bot3,13,1
863.7000000000003,21144,bot4,3,1
672.9250000000001,18270,bot6,2,1
928.0749999999999,24712,bot3,13,1
674.9250000000001,18300,bot6,2,1
880.55,19808,bot1,4,1
932.0749999999999,24760,bot3,13,1
870.4000000000003,21204,bot4,3,1
888.55,20128,bot1,4,1
940.0749999999999,25160,bot3,13,1
874.4000000000003,21324,bot4,3,1
685.325,18700,bot6,2,1
890.55,20158,bot1,4,1
942.0749999999999,25220,bot3,13,1
876.4000000000003,21348,bot4,3,1
689.325,18820,bot6,2,1
892.55,20182,bot1,4,1
944.0749999999999,25280,bot3,13,1
884.4000000000003,21420,bot4,3,1
693.325,18880,bot6,2,1
894.55,20206,bot1,4,1
888.4000000000003,21468,bot4,3,1
697.325,19000,bot6,2,1
902.55,20446,bot1,4,1
954.675,25400,bot3,13,1
890.4000000000003,21486,bot4,3,1
699.325,19030,bot6,2,1
906.55,20646,bot1,4,1
958.675,25436,bot3,13,1
894.4000000000003,21546,bot4,3,1
703.325,19066,bot6,2,1
908.55,20706,bot1,4,1
962.675,25472,bot3,13,1
902.4000000000003,21946,bot4,3,1
705.325,19166,bot6,2,1
910.55,20766,bot1,4,1
970.675,25712,bot3,13,1
709.325,19226,bot6,2,1
972.675,25730,bot3,13,1
913.1500000000003,22346,bot4,3,1
921.05,20862,bot1,4,1
980.675,25970,bot3,13,1
921.1500000000003,22746,bot4,3,1
713.9250000000001,19256,bot6,2,1
925.05,20898,bot1,4,1
982.675,25988,bot3,13,1
929.1500000000003,22986,bot4,3,1
715.9250000000001,19336,bot6,2,1
933.05,21018,bot1,4,1
986.675,26108,bot3,13,1
931.1500000000003,23004,bot4,3,1
717.9250000000001,19354,bot6,2,1
935.05,21036,bot1,4,1
988.675,26132,bot3,13,1
935.1500000000003,23124,bot4,3,1
725.9250000000001,19450,bot6,2,1
943.05,21156,bot1,4,1
990.675,26192,bot3,13,1
727.9250000000001,19474,bot6,2,1
941.4500000000003,23172,bot4,3,1
731.9250000000001,19674,bot6,2,1
949.55,21276,bot1,4,1
997.3249999999999,26240,bot3,13,1
945.4500000000003,23208,bot4,3,1
735.9250000000001,19874,bot6,2,1
951.55,21356,bot1,4,1
1001.3249999999999,26440,bot3,13,1
949.4500000000003,23328,bot4,3,1
959.55,21452,bot1,4,1
1003.3249999999999,26470,bot3,13,1
951.4500000000003,23352,bot4,3,1
745.9250000000001,20194,bot6,2,1
961.55,21482,bot1,4,1
1007.3249999999999,26670,bot3,13,1
959.4500000000003,23672,bot4,3,1
747.9250000000001,20254,bot6,2,1
965.55,21602,bot1,4,1
1009.3249999999999,26750,bot3,13,1
967.4500000000003,23912,bot4,3,1
755.9250000000001,20374,bot6,2,1
967.55,21632,bot1,4,1
1011.3249999999999,26850,bot3,13,1
975.4500000000003,24312,bot4,3,1
757.9250000000001,20398,bot6,2,1
969.55,21650,bot1,4,1
1015.3249999999999,26910,bot3,13,1
759.9250000000001,20498,bot6,2,1
973.55,21770,bot1,4,1
1023.3249999999999,27230,bot3,13,1
980.1000000000003,24336,bot4,3,1
767.9250000000001,20594,bot6,2,1
977.55,21818,bot1,4,1
982.1000000000003,24396,bot4,3,1
771.9250000000001,20630,bot6,2,1
981.55,21978,bot1,4,1
1029.975,27350,bot3,13,1
990.1000000000003,24492,bot4,3,1
985.55,22138,bot1,4,1
1031.975,27410,bot3,13,1
994.1000000000003,24540,bot4,3,1
778.575,20790,bot6,2,1
1035.975,27610,bot3,14,1
996.1000000000003,24600,bot4,3,1
786.575,21110,bot6,2,1
992.3,22198,bot1,4,1
1039.975,27810,bot3,14,1
1004.1000000000003,24696,bot4,3,1
790.575,21270,bot6,2,1
