,Total $BYTE,Total $Bit,Total XP,Total Playtime,Simulation Run,$BYTE/h,$Bit/h,XP/h
149,38465806,47440630,158227060,4667596,150,8.24103157171272,10.163825232517981,33.89904781819163
150,38582620,47473500,158252966,4667350,151,8.266493834831328,10.171403473062872,33.906384993625934
151,38464068,47399820,158132646,4667068,152,8.241591508844525,10.156230849861197,33.8826530918341
152,38370474,47297950,157931450,4664952,153,8.225266626537636,10.139000358417407,33.85489282633562
153,38537114,47511110,158266070,4663634,154,8.26332297946194,10.187572609685922,33.93621154661794
154,38513888,47450370,158175988,4664958,155,8.255998875016667,10.171660709485487,33.90726947595241
155,38526132,47521270,158386158,4669686,156,8.25026179490441,10.17654506105978,33.91794608888049
156,38534442,47455750,158144658,4663436,157,8.26310085524922,10.176134077963116,33.91161752836321
157,38528050,47454040,158235552,4667756,158,8.254083975254918,10.166349740646256,33.89970512597488
158,38551088,47458610,158111582,4660992,159,8.271004970615698,10.1820835564618,33.92230280592629
159,38543036,47479400,158233178,4665074,160,8.26204171680878,10.177630622793979,33.91868553424876
160,38471524,47478200,158297944,4669446,161,8.238991092305168,10.167844322431398,33.90079765351179
161,38531064,47412190,158151178,4667622,162,8.2549666618248,10.15767557869939,33.882601890213046
162,38432150,47434780,158305186,4672954,163,8.224380124435207,10.15091952542225,33.87689799642796
163,38526480,47497300,158328088,4668912,164,8.251704037257502,10.173098143636034,33.91113132995439
164,38491838,47458960,158248358,4668436,165,8.245124919780414,10.165922805839044,33.897510429617114
165,38509476,47451280,158283262,4670650,166,8.24499288107651,10.159459604123622,33.888915247342446
166,38563174,47562470,158406388,4667396,167,8.262246014694275,10.190365248631142,33.9389218313595
167,38487250,47443190,158226328,4667888,168,8.245109994070123,10.163737861748183,33.896770445220625
168,38486080,47406910,158145160,4667142,169,8.246177210806957,10.157588948439965,33.884797162803274
169,38539384,47423900,158106362,4663672,170,8.26374239011663,10.168789743361025,33.90168991301275
170,38391414,47279080,157866300,4662998,171,8.233204045980719,10.13920229002886,33.85510780832417
171,38522220,47447060,158226210,4667018,172,8.254140009744981,10.16646175352227,33.9030640121808
172,38544554,47529330,158349394,4668514,173,8.256278978707144,10.180826275769977,33.91858608542247
173,38463888,47405680,158131354,4665964,174,8.243502950301375,10.159889789119676,33.8903930677562
174,38636758,47544500,158406880,4668788,175,8.275543460101423,10.183478024703627,33.92890831624824
175,38412444,47387420,158061358,4665348,176,8.233564570102809,10.15731731052003,33.8798644817064
176,38445204,47417420,158106568,4663168,177,8.244438973676266,10.168499183387775,33.90539821855013
177,38494732,47434560,158185752,4666566,178,8.249049086630297,10.164767839991978,33.89767807848426
178,38404826,47337420,157978326,4664298,179,8.23378480534477,10.148884140764592,33.869689715365524
179,38465524,47425850,158197226,4668494,180,8.239385977576495,10.158704284508023,33.88613672846104
180,38579076,47530940,158333906,4666724,181,8.266843293068113,10.185076297634058,33.92827730973591
181,38509614,47399890,158145418,4667546,182,8.250505511889974,10.155205754801345,33.88191953544754
182,38575066,47447900,158187926,4664890,183,8.269233786863142,10.171279494264603,33.910322858631176
183,38514828,47409730,158050506,4661278,184,8.262718507671073,10.170972424300803,33.90711860566995
184,38505692,47388850,158053312,4663066,185,8.257591035597608,10.162594739169466,33.894719053944335
185,38484040,47419690,158100580,4662678,186,8.253634499315629,10.17005463383918,33.90767709029017
186,38505002,47407270,158115276,4665312,187,8.253467720915557,10.161650496258343,33.891683128588184
187,38498136,47347750,157969640,4663574,188,8.255071325125323,10.152674751167238,33.87308532040019
188,38565898,47462620,158273530,4668872,189,8.260217457235923,10.165757382082868,33.899736381721326
189,38596172,47472090,158219704,4665276,190,8.273073661665462,10.1756230499546,33.91432875568348
190,38428238,47414590,158175184,4667698,191,8.232802979113044,10.158024362330211,33.88719321601355
191,38436772,47388360,158148500,4668750,192,8.23277579651941,10.150117269076306,33.87384203480589
192,38426992,47338090,158025148,4666862,193,8.234010776406073,10.143451852658167,33.86111438478361
193,38441516,47410670,158119546,4664816,194,8.24073575463641,10.163459823495717,33.8962021224417
194,38492486,47409360,158159884,4667110,195,8.247606334541075,10.158183543991893,33.88818433677372
195,38476644,47376720,158041444,4662978,196,8.251517377950314,10.160185186376603,33.89281356249161
196,38555884,47506650,158266560,4665576,197,8.263906535870383,10.182376195350798,33.922190957772415
197,38533988,47436540,158156318,4664486,198,8.261143457178347,10.169725024364956,33.90648358683036
198,38472500,47449200,158181010,4666376,199,8.244620664944273,10.16831905530116,33.898042078049436
199,38490228,47384940,158145468,4668730,200,8.244260858948794,10.14942821709544,33.873337717109365
200,38494368,47431020,158235058,4669312,201,8.244119904602648,10.158031847090106,33.88830260218208
201,38571110,47536390,158391408,4668278,202,8.262384973645528,10.18285329194191,33.92930069717356
202,38526436,47411490,158189984,4668762,203,8.251959727225334,10.155045384622305,33.88264040874219
203,38452314,47418460,158119796,4664078,204,8.24435483283084,10.166738206350752,33.9016191410178
204,38568768,47496030,158301936,4667866,205,8.262612508585294,10.1751057121177,33.91312775473846
205,38511298,47436250,158155622,4664510,206,8.256236560753434,10.169610527150763,33.90615991819077
